dest_id,dest_name,dest_type,source_id,source_name,source_type,edge_type,target_id,target_name,target_type
1976633,Hot chocolate,Food,2171544,Alzheimer's disease,Disease,TREATS_CtD,1064969,Caffeine,Compound
1976633,Hot chocolate,Food,1064969,Caffeine,Compound,CONTAINS_FcC,1976633,Hot chocolate,Food
1976379,Snack bar,Food,2171544,Alzheimer's disease,Disease,TREATS_CtD,1064969,Caffeine,Compound
1976379,Snack bar,Food,1064969,Caffeine,Compound,CONTAINS_FcC,1976379,Snack bar,Food
1977000,Pie,Food,2171544,Alzheimer's disease,Disease,TREATS_CtD,1064969,Caffeine,Compound
1977000,Pie,Food,1064969,Caffeine,Compound,CONTAINS_FcC,1977000,Pie,Food
1976611,Soft drink,Food,2171544,Alzheimer's disease,Disease,TREATS_CtD,1064969,Caffeine,Compound
1976611,Soft drink,Food,1064969,Caffeine,Compound,CONTAINS_FcC,1976611,Soft drink,Food
1975551,Other candy,Food,2171544,Alzheimer's disease,Disease,TREATS_CtD,1064969,Caffeine,Compound
1975551,Other candy,Food,1064969,Caffeine,Compound,CONTAINS_FcC,1975551,Other candy,Food
1976331,Chocolate spread,Food,2171544,Alzheimer's disease,Disease,TREATS_CtD,1064969,Caffeine,Compound
1976331,Chocolate spread,Food,1064969,Caffeine,Compound,CONTAINS_FcC,1976331,Chocolate spread,Food
1972754,Coffee substitute,Food,2171544,Alzheimer's disease,Disease,TREATS_CtD,1064969,Caffeine,Compound
1972754,Coffee substitute,Food,1064969,Caffeine,Compound,CONTAINS_FcC,1972754,Coffee substitute,Food
1976515,Ice cream cone,Food,2171544,Alzheimer's disease,Disease,TREATS_CtD,1064969,Caffeine,Compound
1976515,Ice cream cone,Food,1064969,Caffeine,Compound,CONTAINS_FcC,1976515,Ice cream cone,Food
1976718,Ice cream,Food,2171544,Alzheimer's disease,Disease,TREATS_CtD,1064969,Caffeine,Compound
1976718,Ice cream,Food,1064969,Caffeine,Compound,CONTAINS_FcC,1976718,Ice cream,Food
1976657,Cake,Food,2171544,Alzheimer's disease,Disease,TREATS_CtD,1064969,Caffeine,Compound
1976657,Cake,Food,1064969,Caffeine,Compound,CONTAINS_FcC,1976657,Cake,Food
1976933,Pastry,Food,2171544,Alzheimer's disease,Disease,TREATS_CtD,1064969,Caffeine,Compound
1976933,Pastry,Food,1064969,Caffeine,Compound,CONTAINS_FcC,1976933,Pastry,Food
1976777,Pie crust,Food,2171544,Alzheimer's disease,Disease,TREATS_CtD,1064969,Caffeine,Compound
1976777,Pie crust,Food,1064969,Caffeine,Compound,CONTAINS_FcC,1976777,Pie crust,Food
1973173,Energy drink,Food,2171544,Alzheimer's disease,Disease,TREATS_CtD,1064969,Caffeine,Compound
1973173,Energy drink,Food,1064969,Caffeine,Compound,CONTAINS_FcC,1973173,Energy drink,Food
